,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
984,Mark Hunt,Record: 13-14-1 (1 NC),"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",2.81,43%,2.9,51%,0.51,55%,64%,0.2,eef9b891edbd4604
985,Alex Hunter,Record: 2-0-0,"5' 9""",226 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,baa5358456803df8
986,Adam Hunter,Record: 7-1-0,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,edc9eb3051f444fa
987,Joe Hurley,Record: 12-5-0,"5' 8""",155 lbs.,--,--,"Jun 24, 1978",1.12,45%,3.35,56%,0.0,0%,20%,0.0,21b54430c8eeb9cc
988,Solomon Hutcherson,Record: 11-7-0 (1 NC),"5' 11""",185 lbs.,--,Southpaw,"Aug 31, 1972",2.59,39%,2.59,64%,3.53,100%,0%,0.0,155bfc7ed36622df
989,Dan Bobish,Record: 17-9-0,"6' 2""",345 lbs.,--,Southpaw,"Jan 26, 1970",2.06,44%,1.74,34%,2.44,42%,0%,1.6,f348d05403fad037
990,Mark Bocek,Record: 12-5-0,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",2.34,43%,2.32,60%,3.65,36%,31%,1.3,cf9d24e4bd0cf2ce
991,Kyle Bochniak,Record: 8-5-0,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987",2.63,31%,5.11,58%,1.14,15%,62%,0.0,c5af5750e8bae4f0
992,James Bochnovic,Record: 8-3-0,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",0.65,26%,3.64,21%,0.0,0%,0%,0.0,984d15d5dc7bfcf9
993,Jeremy Boczulak,Record: 0-2-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,1afd74f8cb0719f3
994,Tim Boetsch,Record: 21-13-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2.93,50%,2.9,57%,1.45,34%,59%,0.8,c80095f6092271a7
995,Galore Bofando,Record: 5-3-0,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",3.63,45%,3.63,54%,2.37,100%,50%,0.0,8a56ea383fd26e52
996,Jay Bogan,Record: 6-6-0,"5'8""",145 lbs.,--,--,1983.09.13,0.0,0%,0.0,0%,0.0,0%,0%,0.0,53c21779d84ceb75
997,Roman Bogatov,Record: 10-1-0,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",3.33,42%,4.4,44%,1.0,9%,50%,0.0,d61316139d68dbe3
998,Derek Bohi,Record: 8-5-0,"6' 4""",260 lbs.,"77.0""",--,1979.12.09,0.0,0%,0.0,0%,0.0,0%,0%,0.0,70a1c7626b5e0599
999,Jerry Bohlander,Record: 11-4-0,"5' 11""",199 lbs.,--,Orthodox,"Feb 12, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,93892752c5fc23ca
1000,Kotetsu Boku,Record: 25-11-2,"5' 9""",154 lbs.,--,Orthodox,"May 27, 1977",2.47,42%,2.8,53%,0.0,0%,0%,0.0,d227958e8a0c1466
1001,Kyle Bolt,Record: 8-4-0,"6' 2""",185 lbs.,"79.0""",--,--,7.27,52%,7.27,45%,0.0,0%,0%,0.0,9d455d5cfe6a0e35
1002,Luc Bondole,Record: 5-2-2,"6' 2""",205 lbs.,"80.0""",--,1982.07.02,3.35,51%,2.04,62%,0.0,0%,0%,1.8,8691881b31c16b88
1003,Tony Bonello,Record: 16-3-1 (1 NC),"6' 2""",185 lbs.,--,--,--,0.62,33%,12.62,10%,0.0,0%,0%,0.0,702a72aa7a266d86
1004,Jesse Bongfeldt,Record: 16-5-1,"6' 0""",185 lbs.,"72.0""",Orthodox,"Aug 28, 1980",2.91,62%,1.01,50%,1.51,33%,33%,0.0,934de214814b8ff4
1005,Marcos Bonilla,Record: 4-4-0,"5' 10""",145 lbs.,"69.5""",--,1985.07.17,0.47,12%,0.47,94%,0.0,0%,0%,0.0,d311fbefff44a39b
1006,Stephan Bonnar,Record: 15-9-0,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",2.76,38%,3.01,52%,1.32,40%,60%,1.0,c6a33ff198aaaeeb
1007,Rogerio Bontorin,Record: 16-2-0 (1 NC),"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",2.3,52%,3.17,38%,1.76,35%,51%,1.1,07a2bdaa0afdd831
1008,Ray Borg,Record: 13-5-0,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0,a4de54ea806fb525
1009,Igor Borisov,Record: 1-1-0,"6' 0""",235 lbs.,--,Orthodox,1964.05.18,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0313bf497de9c470
1010,Calen Born,Record: 7-1-0,"5' 8""",170 lbs.,"72""",Switch,"May 24, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,3c85e04b08a05751
1011,Tanner Boser,Record: 19-6-1,"6' 2""",255 lbs.,"75""",Orthodox,"Aug 02, 1991",4.54,54%,2.85,64%,0.0,0%,100%,0.0,04c8b08b16a5b99e
1012,Steve Bosse,Record: 12-2-0,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",5.99,52%,5.38,50%,0.92,33%,100%,0.0,e023fa2e648ea0f1
1013,Marcus Bossett,Record: 1-3-0,"6' 1""",215 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e8fb8e53bc2e29d6
1014,Chris Bostick,Record: 6-3-0,"5'11""",206.0 lbs,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,239224bedeb2c7a4
1015,Poliana Botelho,Record: 8-2-0,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",3.65,58%,2.77,55%,1.27,100%,88%,0.0,5c126c6aac3ef364
1016,Francois Botha,Record: 0-1-0,"6' 2""",260 lbs.,--,Orthodox,"Sep 28, 1968",0.0,0%,1.05,77%,0.0,0%,0%,0.0,545d549d6bf87187
1017,Gregory Bouchelaghem,Record: 5-4-0,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0.0,0%,50%,0.0,59851163aaf1aed8
1018,Roy Boughton,Record: 14-8-0,"6' 0""",205 lbs.,--,--,1992.05.26,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2aaf0181432adf0b
1019,Rich Bouphanouvong,Record: 1-4-0,"5' 7""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,611b9c068c9e2c44
1020,Mike Bourke,Record: 10-16-1 (1 NC),"6' 0""",275 lbs.,--,Orthodox,1970.07.16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,dfdd0c5dd0d4bc23
1021,Jess Bouscal,Record: 3-2-0,--,155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,38b1417ec17072da
1022,Tai Bowden,Record: 1-1-0,"5' 11""",230 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2efbc83a6b9b7f86
1023,Melton Bowen,Record: 0-1-0,"6' 0""",225 lbs.,--,Orthodox,"Jul 16, 1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0,81ca2c245b19b3c5
1024,Kyron Bowen,Record: 9-5-0,"6' 3""",185 lbs.,"73""",Orthodox,"Dec 22, 1993",2.73,57%,2.05,40%,0.0,0%,0%,0.0,5488b3c67600333a
1025,Brian Bowles,Record: 10-3-0,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",2.36,26%,2.98,64%,1.39,70%,54%,1.4,b26d3e3746fb4024
1026,Roger Bowling,Record: 12-6-0 (1 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",3.9,47%,3.86,51%,3.09,43%,27%,0.9,3b9f723e2720a238
1027,Blake Bowman,Record: 2-6-0,"6' 2""",170 lbs.,--,--,1981.06.20,0.0,0%,0.0,0%,0.0,0%,0%,0.0,a95a0504fd73bd3e
1028,Ashe Bowman,Record: 9-11-0,"5' 9""",155 lbs.,--,--,"Nov 17, 1976",2.43,42%,4.86,57%,0.0,0%,0%,0.0,8a0a35e7c74bebcc
1029,Colley  Bradford,Record: 0-1-0,"5' 7""",145 lbs.,--,--,--,0.43,25%,1.73,50%,19.42,50%,100%,0.0,1433786ac76cf777
1030,Kyle Bradley,Record: 19-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",1.99,40%,3.45,58%,0.65,50%,40%,0.0,a6959da32f0e6b5d
1031,Paul Bradley,Record: 23-8-0 (2 NC),"5' 9""",170 lbs.,"72.0""",Orthodox,"Jun 13, 1983",2.26,32%,4.13,56%,1.12,16%,100%,0.0,c7011de4765d2497
1032,Sean Brady,Record: 13-0-0,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",5.44,55%,4.35,61%,3.26,57%,100%,1.2,45f7cb591c3ab00b
1033,Ebenezer Fontes Braga,Record: 13-7-2,"6' 0""",199 lbs.,--,Orthodox,"Apr 14, 1969",2.42,50%,0.42,71%,0.0,0%,90%,0.6,dc950d59dc590aca
1034,Ramiz Brahimaj,Record: 8-2-0,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 17, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,3d074044a33825e7
1035,Joe Brammer,Record: 7-3-1,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",2.15,31%,2.8,56%,0.81,50%,50%,0.0,013da757877044a2
1036,David Branch,Record: 22-6-0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",1.66,39%,1.91,56%,2.55,32%,43%,0.0,d2c55d1d2e67773b
1037,Diego Brandao,Record: 22-11-0,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987",2.94,47%,3.38,62%,3.21,68%,80%,0.6,c2e3e67b5911bfb7
1038,Michael Bravo,Record: 7-4-0,--,155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,dc63542668295c23
1039,Martin Bravo,Record: 11-3-0,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",7.66,39%,5.72,51%,2.6,35%,85%,0.0,9c44f290f5726d95
1040,Mike Breeden,Record: 8-3-0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 21, 1989",4.0,34%,5.87,47%,0.0,0%,77%,0.0,d80ee110748171ac
1041,Tom Breese,Record: 12-2-0,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",3.77,51%,2.68,63%,0.0,0%,75%,0.3,1588b787bda7b540
1042,Chris Brennan,Record: 21-13-1,"5' 8""",170 lbs.,--,Orthodox,"Oct 12, 1971",0.6,40%,0.97,50%,0.0,0%,25%,2.1,b19fc66613dc75b9
1043,Charlie Brenneman,Record: 19-8-0,"5' 10""",155 lbs.,"70""",Orthodox,"Feb 09, 1981",1.52,56%,1.55,46%,4.23,42%,72%,0.0,98f6da59d765ec94
1044,Robert Breslin,Record: 3-9-0,"5' 11""",155 lbs.,--,--,--,2.21,46%,3.5,66%,1.38,100%,50%,0.0,e319d6697d41f3cf
1045,Mack Brewer,Record: 0-1-0,"5'9""",205 lbs.,--,--,--,0.0,0%,6.67,36%,0.0,0%,0%,0.0,106a925d947a0de9
1046,Marcos Brigagao,Record: 11-1-0,"6' 3""",205 lbs.,"76""",Southpaw,"Apr 01, 1996",3.07,43%,3.27,25%,0.0,0%,36%,0.0,11547e29f253fb89
1047,Jason Brilz,Record: 22-6-1,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",2.66,40%,1.78,65%,2.37,25%,25%,1.3,497ba5b12a4bfc47
1048,Marcus Brimage,Record: 7-7-0,"5' 4""",135 lbs.,"71""",Southpaw,"Apr 06, 1985",3.97,35%,3.64,56%,0.56,100%,80%,0.0,81801f57bd0a7c41
1049,Aaron Brink,Record: 26-26-0 (2 NC),"6' 3""",205 lbs.,--,Orthodox,"Nov 12, 1974",3.49,42%,5.71,57%,0.0,0%,0%,0.0,cf1a88371c8cb690
1050,Henry Briones,Record: 16-8-1,"5' 8""",135 lbs.,"69""",Orthodox,"Oct 22, 1980",3.47,42%,4.68,53%,0.0,0%,52%,0.6,01fcef7e3d051722
1051,Marcelo Brito,Record: 13-8-0,"6' 1""",170 lbs.,--,Orthodox,"Nov 27, 1977",0.6,20%,3.53,55%,0.0,0%,50%,0.0,3a97fda0de6f1fa4
1052,Antwain Britt,Record: 11-6-0,"6' 1""",205 lbs.,"77""",--,"May 09, 1978",1.46,39%,2.81,44%,1.56,40%,50%,0.0,2833f50b20e96e52
1053,Drew Brokenshire,Record: 16-6-0,"5'9""",145.1 lbs,--,--,1986.06.27,0.0,0%,0.0,0%,0.0,0%,0%,0.0,aa571d75f80fde7d
1054,Mike Bronzoulis,Record: 18-9-1,"6' 0""",155 lbs.,"75.0""",--,"Jan 05, 1979",1.13,34%,2.54,37%,0.0,0%,33%,0.0,df3c39573d01f55b
1055,Jonathan Brookins,Record: 16-10-0,"6' 0""",145 lbs.,"74""",Southpaw,"Aug 13, 1985",2.69,39%,3.63,56%,1.94,17%,80%,0.3,b0a6124751a56bc4
1056,Will Brooks,Record: 18-4-0,"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",4.26,59%,2.54,56%,2.08,51%,82%,0.3,b6e6c3b1dcaae0a1
1057,Jarred Brooks,Record: 13-2-0,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",2.12,46%,1.66,62%,4.54,57%,69%,0.6,81d9df19e255b8b6
1058,Rob Broughton,Record: 16-7-1,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",2.83,60%,2.54,51%,0.0,0%,26%,3.2,a7d687e6ecb30981
1059,Lee Brousseau,Record: 5-3-0,"6' 1""",205 lbs.,--,--,"Oct 04, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0974d8d4053a7237
1060,Matt Brown,Record: 24-17-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.81,54%,2.68,55%,1.6,47%,63%,1.5,31123249b0bbf52e
1061,Mike Brown,Record: 26-9-0,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",2.98,44%,2.45,60%,3.23,40%,66%,0.6,e0b74df14f52cd15
1062,Dominic Brown,Record: 16-23-0,"5' 11""",190 lbs.,--,--,"Jun 04, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,52b3ec072ad497a4
1063,Todd Brown,Record: 16-4-0 (1 NC),"5' 11""",205 lbs.,"74.0""",Orthodox,"Dec 13, 1976",2.15,45%,3.85,48%,0.0,0%,50%,0.0,9b68bf67c5695185
1064,Terrell Brown,Record: 3-1-0,"5'9""",185 lbs.,--,--,"Apr 13, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,85df85a4e276c90e
1065,Chris Brown,Record: 10-1-0,"6'1""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,9e2624ac992660c6
1066,Frederick Brown,Record: 3-2-0,"6' 0""",235 lbs.,"75.0""",--,1976.11.20,0.0,0%,0.0,0%,0.0,0%,0%,0.0,880c6b788266a3ef
1067,Randy Brown,Record: 12-4-0,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",3.67,47%,2.8,53%,1.0,46%,71%,0.6,c6aee362c7a7d482
1068,Damien Brown,Record: 17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",3.66,38%,4.86,50%,0.68,27%,53%,0.7,d024ed963e8bf7ea
1069,TJ Brown,Record: 14-8-0,"5' 9""",145 lbs.,"72""",Switch,"May 22, 1990",3.22,42%,2.21,50%,4.92,60%,40%,0.4,d31cbcdd7d69536d
1070,Humberto Brown Morrison,Record: 4-6-0,"5' 10""",145 lbs.,"71.0""",--,"Nov 03, 1984",1.71,50%,2.19,62%,1.43,25%,0%,0.0,e9e7e1c8ff289e1b
1071,Travis Browne,Record: 18-7-1,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",2.93,41%,4.31,42%,1.21,68%,75%,0.2,3236bf606fe9fa5b
1072,Junie Browning,Record: 5-6-0,"5' 9""",155 lbs.,"72.0""",Orthodox,"May 12, 1984",3.76,48%,1.76,66%,3.53,66%,0%,3.5,d74cba8566291bfa
1073,Jules Bruchez,Record: 1-2-0,"6' 0""",205 lbs.,--,Southpaw,"Aug 16, 1977",0.69,50%,5.52,46%,0.0,0%,0%,0.0,d1dcd4e96464a53d
1074,Justin Bruckmann,Record: 7-3-0,"5' 9""",170 lbs.,--,Orthodox,--,0.59,66%,5.91,16%,0.0,0%,33%,0.0,5f8e00c27b7e7410
1075,Cody Brundage,Record: 5-1-0,"6' 0""",205 lbs.,"72""",Orthodox,"May 16, 1994",7.97,82%,6.29,6%,6.29,33%,0%,0.0,f14f644d41ade29f
1076,Steve Bruno,Record: 15-6-0,"5' 10""",170 lbs.,--,Orthodox,"Nov 03, 1981",0.96,52%,3.38,36%,1.94,25%,46%,0.4,2f3f12002564bb55
1077,Fernando Bruno,Record: 15-4-0,"5' 6""",145 lbs.,"71.0""",--,"Feb 24, 1982",1.75,39%,1.78,48%,2.02,22%,56%,0.5,b8c0f30ee9a98b69
1078,Derek Brunson,Record: 21-7-0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",3.77,47%,2.95,54%,3.02,31%,100%,0.4,b1a3e0aca758b322
1079,Josh Bryant,Record: 15-4-0,"5' 10""",185 lbs.,--,Orthodox,"Apr 23, 1980",1.1,20%,6.1,43%,0.0,0%,0%,0.0,01f022fa494188e2
1080,Dennis Bryant,Record: 5-2-0,"6' 0""",205 lbs.,"72""",Orthodox,"Oct 18, 1985",10.56,59%,10.56,13%,0.0,0%,0%,0.0,3b17353b8002c7d0
1081,Justin Buchholz,Record: 15-10-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",2.35,26%,4.14,51%,0.0,0%,33%,0.8,231926533134ec1f
1082,Zak Bucia,Record: 17-8-0,"5' 10""",170 lbs.,"76.0""",--,1984.09.27,0.0,0%,0.0,0%,0.0,0%,0%,0.0,6bbb8dc6e128779e
1083,Courtney Buck,Record: 12-11-0,"5' 10""",135 lbs.,"74.0""",Orthodox,"Mar 19, 1982",1.49,28%,3.24,54%,0.0,0%,33%,0.0,3feed7d02711d8b7
1084,Joaquin Buckley,Record: 11-3-0,"5' 10""",185 lbs.,"76""",Southpaw,"Apr 27, 1994",3.92,32%,6.09,49%,0.85,25%,0%,0.0,b9437600497350f3
1085,Julia Budd,Record: 10-2-0,"5' 7""",145 lbs.,"67""",--,"Jul 04, 1983",2.42,74%,1.18,47%,3.6,57%,83%,0.0,dcdc4503b9d49977
1086,Mike Budnik,Record: 13-4-0,"5' 9""",145 lbs.,"68""",Orthodox,"Aug 08, 1974",0.65,52%,0.95,53%,0.0,0%,0%,3.4,b98209144b63ae26
1087,Francisco Bueno,Record: 5-2-0,"5' 9""",225 lbs.,--,Orthodox,1972.12.23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,a72d260b436924c4
1088,Mayra Bueno Silva,Record: 7-1-0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",4.44,53%,6.74,44%,0.0,0%,71%,1.9,cc8c623cca88f54f
1089,Paul Buentello,Record: 35-17-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",3.29,45%,3.83,52%,0.19,33%,39%,0.4,f0abbb6f3444dae7
1090,Modestas Bukauskas,Record: 11-2-0,"6' 3""",205 lbs.,"78""",Switch,"Feb 10, 1994",3.6,36%,4.6,50%,0.0,0%,100%,0.0,476fe566d2df676e
1091,Lee Kwan Bum,Record: 0-1-0,"6' 2""",286 lbs.,--,Orthodox,1986.10.12,0.71,14%,0.0,100%,0.0,0%,0%,0.0,c0342805a1948cbb
1092,Josh Bumgarner,Record: 6-4-0,"6' 1""",170 lbs.,--,--,1981.05.21,0.0,0%,0.0,0%,0.0,0%,0%,0.0,9900ab86a4c458bd
1093,Shawn Bunch,Record: 7-3-0,"5' 5""",135 lbs.,"66.0""",--,"Mar 19, 1983",0.0,0%,1.55,55%,0.0,0%,50%,0.0,6e9af164ab91a229
1094,Wuliji Buren,Record: 9-6-0,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989",1.63,42%,2.96,56%,3.38,42%,71%,0.4,2296125b6c362355
1095,Shane Burgos,Record: 13-2-0,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",7.31,50%,5.81,60%,0.3,100%,89%,0.1,98d961097baaf308
1096,Joshua Burkman,Record: 28-16-0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980",2.69,43%,3.13,51%,2.53,36%,72%,0.3,6da99156486ed6c2
1097,Mads Burnell,Record: 9-3-0,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994",1.28,41%,2.71,51%,3.45,47%,22%,0.4,69f01b25dfabaf6b
1098,Mikey Burnett,Record: 5-2-0,"5' 6""",170 lbs.,--,Orthodox,"Apr 12, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,4c805f5f58a75df0
1099,Kevin Burns,Record: 12-7-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",2.74,38%,4.3,52%,0.28,50%,47%,0.8,a6d8bfe9e0c8153b
1100,Gilbert Burns,Record: 19-3-0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",3.15,46%,2.74,56%,2.21,37%,50%,0.7,23024fdfc966410a
1101,Josh Burns,Record: 8-10-0,"6' 1""",244 lbs.,"72.0""",--,"May 15, 1978",2.4,48%,5.73,32%,0.0,0%,100%,0.0,1e092415a7eeaf65
1102,Herbert Burns,Record: 11-3-0,"5' 9""",145 lbs.,"73""",Orthodox,"Feb 02, 1988",1.67,45%,5.02,33%,4.64,83%,75%,2.8,4f140403000158b5
1103,Derrick Burnsed,Record: 1-0-3,"5'10""",155 lbs.,"71.5""",--,1980.06.09,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2213330f082f82d5
1104,Nah-Shon Burrell,Record: 15-7-0 (1 NC),"5' 11""",170 lbs.,"73""",Orthodox,"Feb 05, 1990",4.83,47%,3.45,56%,0.0,0%,52%,0.3,2c64c035485906aa
1105,Martin Buschkamp,Record: 9-0-0 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Jan 06, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,8fc30d8cebb17116
1106,George Bush,Record: 5-2-0,"6' 1""",205 lbs.,--,--,--,6.35,64%,2.31,55%,17.31,66%,0%,0.0,f0c779dc2ca3816c
1107,Bubba Bush,Record: 8-3-0 (1 NC),"6' 0""",185 lbs.,"73""",Orthodox,"Jul 24, 1985",0.63,55%,7.01,25%,2.82,50%,60%,0.0,132505067f08c54d
1108,Murilo Bustamante,Record: 15-8-1,"6' 2""",183 lbs.,--,Orthodox,"Jul 30, 1966",1.33,32%,1.9,60%,2.46,33%,54%,1.2,85d905f7c4f5a1af
1109,Nick Bustamante,Record: 5-3-0,"5' 9""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,51b1ca2a4b064101
1110,Eduardo Bustillos,Record: 5-3-0,"5' 8""",135 lbs.,"67.5""",--,"Jun 02, 1987",2.61,59%,6.22,35%,0.0,0%,100%,0.0,f273f1b8df04c8a1
1111,Jason Butcher,Record: 10-2-0,"6' 3""",185 lbs.,"74.0""",--,"Oct 23, 1984",1.82,40%,2.73,25%,13.64,50%,0%,0.0,30e39145fec48d25
1112,Todd Butler,Record: 1-4-0,"6' 1""",200 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,3fed746acfd026dd
1113,Goldman Butler,Record: 1-4-0,--,242.8 lbs,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e2d5072048b825b1
1114,Ian Butler,Record: 3-3-0 (1 NC),"5' 8""",155 lbs.,"73.0""",--,1989.10.09,2.09,14%,6.69,36%,0.0,0%,50%,0.0,6b8fd98eb52363d1
1115,Raphael Butler,Record: 9-2-1,"6' 3""",261 lbs.,"77.0""",--,"Jan 04, 1984",4.69,45%,0.94,91%,0.0,0%,100%,14.1,f941505e35fb1eae
1116,JP Buys,Record: 4-1-0,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 30, 1996",2.01,42%,3.35,46%,4.02,50%,0%,0.0,0b362247806341e5
1117,Cheyanne Buys,Record: 5-1-0,"5' 3""",115 lbs.,"63""",Switch,"Jun 25, 1995",6.13,55%,2.33,66%,0.0,0%,100%,0.0,4959f10a62f3fec3
1118,Dennis Buzukja,Record: 4-2-0,"5' 9""",145 lbs.,"71""",Switch,"Oct 01, 1997",3.8,46%,6.8,35%,2.0,25%,100%,1.0,c4d039123e62f6a9
1119,Charles Byrd,Record: 10-7-0,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",3.43,55%,2.63,55%,2.5,50%,40%,1.5,76ee3d666c648f6b
1120,Steve Byrnes,Record: 6-1-0,"6' 0""",170 lbs.,--,Orthodox,1979.08.26,1.2,51%,2.67,27%,3.0,60%,0%,4.0,43612456979e5d5e
1121,Michael Byrnes,Record: 5-3-0,"5' 11""",155 lbs.,--,--,"Jul 17, 1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,87f0b37f153cf497
1122,Al Iaquinta,Record: 14-6-1,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",4.06,40%,4.44,61%,0.64,18%,74%,0.2,59279a7c978f7da0
1123,Khadis Ibragimov,Record: 8-4-0,"6' 3""",205 lbs.,"78""",Orthodox,"May 21, 1995",3.55,49%,4.26,47%,0.97,30%,80%,0.3,c3218c810959d279
1124,Minoki Ichihara,Record: 0-1-0,"5' 7""",178 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,4565d435005319c0
1125,Dan Ige,Record: 14-3-0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.96,46%,3.36,58%,1.69,27%,59%,0.5,82a5152216251682
1126,Valeri Ignatov,Record: 1-2-0,"5' 9""",170 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7b6ce3a9460565b5
1127,Sergey Ignatov,Record: 0-1-0,"5' 9""",210 lbs.,--,Orthodox,--,0.35,50%,3.25,42%,0.0,0%,0%,0.0,df9e9c1f65805d29
1128,Fabiano Iha,Record: 9-5-0,"5' 8""",155 lbs.,--,Orthodox,"Jul 28, 1970",1.73,47%,2.49,42%,2.88,40%,50%,2.9,263ebd4a669e1e98
1129,Seichi Ikemoto,Record: 21-19-5,"5' 11""",168 lbs.,--,Orthodox,"Aug 24, 1975",2.59,32%,3.74,57%,1.23,26%,60%,0.0,81f38d1640c4e70d
1130,Mikhail Iloukhine,Record: 30-11-1,"5' 9""",205 lbs.,--,Orthodox,"Nov 21, 1966",0.16,20%,2.95,26%,0.0,0%,0%,7.0,b71667c778b6d9e5
1131,Zelim Imadaev,Record: 8-3-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jan 25, 1995",2.91,36%,4.35,43%,0.38,50%,60%,0.0,7f0f171414d0a287
1132,Yusuke Imamura,Record: 2-6-0,"5' 8""",220 lbs.,--,Orthodox,1976.08.08,0.18,50%,1.83,52%,2.75,50%,0%,0.0,2ce6541127b0e232
